,feature_set,training_rmse,test_rmse
0,artist,0.2661247287980233,0.28065369986709315
1,reviewauthor,0.25695145833334043,0.270757073747464
2,releaseyear,0.268723912937141,0.27876422331516815
3,recordlabel,0.2607262492417148,0.27738397244002966
4,genre,0.2676615558879157,0.27791078109328793
5,danceability,0.26864755585860545,0.27906155991493264
6,energy,0.26869106063561343,0.2788113440911572
7,key,0.26921918253069765,0.2796925333452506
8,loudness,0.26801862555887973,0.2784117208431715
9,speechiness,0.26922412149331926,0.27963871714880084
10,acousticness,0.2686011141107765,0.2788688674586968
11,instrumentalness,0.268238311799825,0.27862673347315536
12,liveness,0.26922386546581334,0.2796376509497473
13,valence,0.26892091655805367,0.27902654752264844
14,tempo,0.2691691271070847,0.2794146218695675
15,danceability_energy_key_loudness_speechiness_acousticness_instrumentalness_liveness_valence_tempo,0.26726615105711915,0.2778144913896762
16,artist_reviewauthor_releaseyear_recordlabel_genre,0.24541478756093113,0.2686366596582872
17,artist_reviewauthor_releaseyear_recordlabel_genre_danceability_energy_key_loudness_speechiness_acousticness_instrumentalness_liveness_valence_tempo,0.24488948293256657,0.268348665317095
