,model_name,hyperparameter_setting,mean_training_rmse,sd_training_rmse,test_rmse
0,DTR,5_squared_error,0.2753891264742657,0.020330933857636933,0.27500789053272107
1,DTR,10_squared_error,0.2844160902063381,0.026181171467805436,0.28081504289216414
2,DTR,20_squared_error,0.3157787750369665,0.025699051893668952,0.3177382486736399
3,DTR,5_absolute_error,0.2925648607100677,0.03273794394906595,0.27572029737004133
4,DTR,10_absolute_error,0.30814140230753695,0.030616258219715035,0.28180137851907894
5,DTR,20_absolute_error,0.3318581054950983,0.03503256511758052,0.2942710082974059
6,Ridge,1e-05,0.29195361191051267,0.016468865878369675,0.26834864074897785
7,Ridge,0.0001,0.29194884827926215,0.016468235587422705,0.26834856784709926
8,Ridge,0.001,0.2919013040455883,0.016461948761775737,0.26834783902725484
9,Ridge,0.01,0.291434807702435,0.016400680744837325,0.2683405705201779
10,Ridge,0.1,0.28747980354606,0.015932009814627716,0.26826968576240834
11,Ridge,1.0,0.27196240855144993,0.015830980148678724,0.26767720209025814
12,Ridge,10.0,0.2619077457234354,0.019061920027645497,0.26552232103761003
13,Ridge,100.0,0.26647722115172207,0.020002232655208688,0.267146383528987
14,Ridge,1000.0,0.27033111783988917,0.01953981184091723,0.2730345719971356
15,Ridge,10000.0,0.2721350668529919,0.019183904330015874,0.27648786662761554
16,Ridge,100000.0,0.2732581912114716,0.018981349888699043,0.27849302175872
17,KNN,1,0.3555741474642852,0.026150470798692635,0.3538243926020464
18,KNN,5,0.2836017339116141,0.015770314390825033,0.2819412288686425
19,KNN,10,0.2730602815016522,0.01613551952104618,0.274960465435865
20,KNN,15,0.2694856275805438,0.017273823394843367,0.2753359194574835
